mode,depth,fid_raw,fid_raw_err,fid_post,fid_post_err,P00,P00_err,P01,P01_err,P10,P10_err,P11,P11_err
5,400,0.09479959355744919,0.0016725186404522058,0.7058955028715254,0.006298881496549104,0.8692314691543132,0.001360284070953451,0.03596893728823768,0.0009131361389518782,0.08626086099640913,0.0011848531649946285,0.00853873256104005,0.0011848531649946285
5,700,0.040206292460208994,0.001355757420117426,0.5897059554397367,0.004995049899520818,0.9360170408418151,0.0007740111939526219,0.023776666697975832,0.0004254575241010489,0.034177207017956616,0.00055004109687596,0.006029085442252372,0.00055004109687596
5,1000,0.03086760664414718,0.0008955854901074498,0.5390554592737785,0.006298262234876016,0.9479120606894946,0.0006730195337771489,0.02122033266635815,0.0004466460785523552,0.024777994732038216,0.00040972793449066614,0.006089611912108968,0.00040972793449066614
5,1500,0.027908727130256515,0.0004780602668321949,0.514338195510623,0.005976232838350258,0.9515794885768297,0.0005767768973372174,0.020511784292913726,0.00036430527943443055,0.021715494093873317,0.000376751780400082,0.006193233036383193,0.000376751780400082
5,2000,0.02766116764921608,0.0007757375447051558,0.5078660135104819,0.005719091723230862,0.9520929674401738,0.0006446586858860304,0.02024586491061001,0.00041612232250175024,0.020828888127993276,0.00030875488272659153,0.006832279521222806,0.00030875488272659153
6,1,0.890094859149635,0.0012115656976351553,0.9883097276787634,0.0005942619360442874,0.09974502219441113,0.0029151542907329135,0.010160118655953666,0.0005205471531801499,0.8586444376830685,0.0027788030463999566,0.03145042146656651,0.0027788030463999566
6,5,0.8900864880228737,0.001564185678578712,0.987709049887197,0.0007244312045950566,0.09930354487255018,0.003338521939451904,0.010609967104576208,0.0006088747143182672,0.8554584958919106,0.0034690227062801633,0.034627992130963035,0.0034690227062801633
6,10,0.868078184980955,0.001838400132501291,0.9844501891436938,0.0008724560452347627,0.11872285531842454,0.0035773595842703396,0.013198959700620416,0.0007365309189709606,0.8364349645398441,0.003670758886570112,0.03164322044111091,0.003670758886570112
6,20,0.8303446410612049,0.0020267504322571545,0.9776075083091058,0.0012029996199270554,0.15141049270672013,0.003515044445684013,0.018244866232074892,0.000969286178153564,0.7977958694887634,0.0036913003344383956,0.03254877157244163,0.0036913003344383956
6,40,0.7737117359092135,0.0025772679552934948,0.970040382413209,0.0014048686371311264,0.20343385349297657,0.003549315738714091,0.02285441059780984,0.0010408703012350436,0.7420035795501153,0.004380820744556253,0.03170815635909827,0.004380820744556253
6,80,0.6651136788738766,0.0016899484684200963,0.9488834829785417,0.0015557421981272634,0.3006393509624136,0.0040734244866472945,0.03424697016370968,0.0009586780136944109,0.637586305831981,0.004575415569516691,0.027527373041895748,0.004575415569516691
6,120,0.575624392183421,0.002583311507088658,0.9282639923026609,0.002379311552380931,0.38209644760262085,0.0032879020136523046,0.04227916021395831,0.0013361437410012013,0.5480425754908137,0.0039058659523970407,0.027581816692607182,0.0039058659523970407
6,160,0.5036691330321257,0.0026810409547672245,0.9070827897028086,0.00248008680899495,0.4474202408670148,0.0024445066068662894,0.04891062610085955,0.0013083949015591984,0.4775567548960291,0.002797744333451396,0.026112378136096463,0.002797744333451396
